time_col,mill_b_power,mill_b_load,mill_a_power,mill_a_load,on_off_mill_a
2020-05-01 00:00:04,200.0,285.4012927040861,120.0,744.1013086491917,1.0
2020-05-01 00:00:58,200.0,308.3280997220099,120.0,685.0039302091806,1.0
2020-05-01 00:01:59,200.0,341.8126487339684,120.0,699.4684496026434,1.0
2020-05-01 00:02:55,200.0,311.9660906308132,120.0,731.0223299800365,1.0
2020-05-01 00:04:04,200.0,334.7575426163492,120.0,721.6889497537492,1.0
2020-05-01 00:04:56,200.0,309.1277432560128,120.0,650.5680530030897,1.0
2020-05-01 00:06:04,200.0,346.0776638217334,120.0,698.7522104381397,1.0
2020-05-01 00:06:56,200.0,302.3461743394193,120.0,671.2160697925575,1.0
2020-05-01 00:07:59,200.0,339.81328916235327,120.0,672.419528705161,1.0
2020-05-01 00:08:56,200.0,338.44211952246195,120.0,685.2649625484593,1.0
2020-05-01 00:10:03,200.0,298.15429840508034,120.0,678.601089279022,1.0
2020-05-01 00:10:57,200.0,265.3427684355754,120.0,711.3568376740744,1.0
2020-05-01 00:11:59,200.0,291.10827186872524,120.0,694.0259431286748,1.0
2020-05-01 00:12:57,200.0,322.5799580616893,120.0,678.0418754123207,1.0
2020-05-01 00:14:00,200.0,277.6456136485127,120.0,686.0965808186356,1.0
2020-05-01 00:15:04,200.0,309.21865281846567,120.0,683.3418581843566,1.0
2020-05-01 00:16:01,200.0,323.4773502433229,120.0,712.3519768289401,1.0
2020-05-01 00:16:57,200.0,292.1634514506511,120.0,669.871043405855,1.0
2020-05-01 00:18:00,200.0,287.89572807452487,120.0,682.8266925412726,1.0
2020-05-01 00:19:00,200.0,303.50359097626057,120.0,653.6476065174569,1.0
2020-05-01 00:19:56,200.0,306.0156011694365,120.0,611.175254604148,1.0
2020-05-01 00:20:59,200.0,341.74127576150835,120.0,691.340464886009,1.0
2020-05-01 00:22:00,200.0,330.7946210870367,120.0,696.6109049714877,1.0
2020-05-01 00:22:55,200.0,322.71106494968404,120.0,656.445874489839,1.0
2020-05-01 00:23:57,200.0,303.0466290036217,120.0,731.7438655996901,1.0
2020-05-01 00:24:57,200.0,325.06972234218995,120.0,638.6408581350308,1.0
2020-05-01 00:25:58,200.0,287.821484689046,120.0,676.1439629325362,1.0
2020-05-01 00:27:00,200.0,273.9306227492368,120.0,670.3204037493541,1.0
2020-05-01 00:28:04,200.0,294.8724659928056,120.0,713.3194803589614,1.0
2020-05-01 00:29:00,200.0,301.21979129384243,120.0,711.7339692475072,1.0
2020-05-01 00:29:57,200.0,293.1779642660503,120.0,678.8736856424229,1.0
2020-05-01 00:31:02,200.0,308.4372990588357,120.0,684.4540629900544,1.0
2020-05-01 00:32:03,200.0,311.7532678364259,120.0,652.8053563092471,1.0
2020-05-01 00:33:00,200.0,280.0118375601887,120.0,625.4800882944019,1.0
2020-05-01 00:34:01,200.0,359.54876147238235,120.0,666.3021962668462,1.0
2020-05-01 00:34:58,200.0,324.7239466867296,120.0,678.9087242275995,1.0
