batch_id,reactor_start_time,reactor_end_time,filter_start_time,filter_end_time,reactor,filter,reactor_temp_mean_reactor,reactor_temp_std_reactor,reactor_temp_first_reactor,reactor_temp_last_reactor,reactor_temp_sum_reactor,reactor_temp_median_reactor,reactor_temp_amin_reactor,reactor_temp_amax_reactor,reactor_temp_increase_reactor,reactor_agitator_speed_mean_reactor,reactor_agitator_speed_std_reactor,reactor_agitator_speed_first_reactor,reactor_agitator_speed_last_reactor,reactor_agitator_speed_sum_reactor,reactor_agitator_speed_median_reactor,reactor_agitator_speed_amin_reactor,reactor_agitator_speed_amax_reactor,reactor_agitator_speed_increase_reactor,reactor_P_mean_reactor,reactor_P_std_reactor,reactor_P_first_reactor,reactor_P_last_reactor,reactor_P_sum_reactor,reactor_P_median_reactor,reactor_P_amin_reactor,reactor_P_amax_reactor,reactor_P_increase_reactor,filter_trough_lvl_mean_filter,filter_trough_lvl_std_filter,filter_trough_lvl_first_filter,filter_trough_lvl_last_filter,filter_trough_lvl_sum_filter,filter_trough_lvl_median_filter,filter_trough_lvl_amin_filter,filter_trough_lvl_amax_filter,filter_trough_lvl_increase_filter,filter_infeed_mean_filter,filter_infeed_std_filter,filter_infeed_first_filter,filter_infeed_last_filter,filter_infeed_sum_filter,filter_infeed_median_filter,filter_infeed_amin_filter,filter_infeed_amax_filter,filter_infeed_increase_filter,batch_type
0,2017-03-27 00:02:00,2017-03-27 00:40:00,2017-03-27 00:52:00,2017-03-27 01:05:00,reactor_1,filter_a,0.1323682145417021,2.8739124160166423,0.0,-3.949083647098415,5.02999215258468,0.3082057695495178,-3.999998976939167,3.99999079245564,-3.949083647098415,-0.02442771843793644,2.930712498708699,-2.210737993954426,2.9395164529914104,-0.9282533006415847,0.002858430630464398,-3.996372135890381,3.996611681189033,5.150254446945836,0.039710464362510633,0.8621737248049925,0.0,-1.1847250941295244,1.508997645775404,0.0924617308648553,-1.19999969308175,1.199997237736692,-1.1847250941295244,6.0,3.8944404818493075,0.0,12.0,78.0,6.0,0.0,12.0,12.0,1.0,0.0,1.0,1.0,13.0,1.0,1.0,1.0,0.0,
1,2017-03-27 00:41:00,2017-03-27 01:58:00,2017-03-27 02:12:00,2017-03-27 02:24:00,reactor_1,filter_a,0.10364716668560421,2.143808195085442,0.0,-3.8108886320160575,7.980831834791524,0.1052147158611884,-3.999998976939167,3.999949870121741,-3.8108886320160575,0.0017272697781513992,2.1944046609832824,-2.210737993954426,3.847675632917669,0.13299977291765774,-0.0969758977484367,-3.996372135890381,3.9970662386548073,6.058413626872095,-0.0035154013550470395,0.9099978375813963,0.0,-1.1432665896048175,-0.27068590433862205,-0.1585740892258199,-1.4909151344633171,2.270946611651844,-1.1432665896048175,16.5,10.816653826391969,0.0,33.0,198.0,16.5,0.0,33.0,33.0,3.0,0.0,3.0,3.0,36.0,3.0,3.0,3.0,0.0,
2,2017-03-27 01:59:00,2017-03-27 02:09:00,2017-03-27 02:44:00,2017-03-27 02:45:00,reactor_1,filter_a,1.0323329608338914,2.610962320851487,0.0,-3.5651942788979314,10.323329608338915,1.525326130793972,-3.5651942788979314,3.9508875322986903,-3.5651942788979314,-0.5104477168998456,3.140286416326102,-2.210737993954426,3.973585204119853,-5.104477168998455,-1.5016463244814082,-3.996372135890381,3.973585204119853,6.184323198074279,0.3096998882501675,0.7832886962554461,0.0,-1.069558283669379,3.0969988825016745,0.45759783923819164,-1.069558283669379,1.185266259689607,-1.069558283669379,96.0,,96.0,96.0,96.0,96.0,96.0,96.0,0.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,0.0,
3,2017-03-27 02:10:00,2017-03-27 02:31:00,2017-03-27 02:51:00,2017-03-27 03:04:00,reactor_1,filter_a,-0.12618450974599374,1.0811559253121459,0.0,1.2062835873617803,-2.6498747046658684,-0.6109886895990319,-1.9822813500288263,1.81621689829314,1.2062835873617803,-0.17361964185671697,1.1820352089344548,-2.210737993954426,0.5350487737622157,-3.6460124789910564,0.0310473813791395,-3.48332822749152,1.311941909716213,2.7457867677166417,0.12663926406891474,1.0620499164089812,0.0,0.8264710230511522,2.6594245454472096,0.0,-2.944912482213564,2.140742534930873,0.8264710230511522,135.0,11.683321445547923,117.0,153.0,1755.0,135.0,117.0,153.0,36.0,3.0,0.0,3.0,3.0,39.0,3.0,3.0,3.0,0.0,
4,2017-03-27 02:32:00,2017-03-27 03:48:00,2017-03-27 04:06:00,2017-03-27 04:13:00,reactor_1,filter_a,0.24137170623099452,1.6591586801971394,2.6855217320302374,-2.8435583308665224,18.344249673555584,0.13420291071296084,-3.9535327256221615,3.999949870121741,-5.52908006289676,0.20478386950025365,1.581447253710312,-0.2483084889730958,3.9246147675697447,15.563574082019278,0.19445476739503298,-3.9715792073425367,3.9970662386548073,4.17292325654284,0.0026057241519854674,0.9705500894301996,-0.5931054325435238,-0.8530674992599567,0.19803503555089552,0.07156902973997076,-2.147347799943653,2.00088943298624,-0.25996206671643296,3.0,2.160246899469287,0.0,6.0,21.0,3.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,
5,2017-03-27 03:49:00,2017-03-27 04:19:00,2017-03-27 04:42:00,2017-03-27 05:03:00,reactor_1,filter_a,0.09236589807038956,2.2439202528977567,0.0,1.898519670862468,2.7709769421116865,-0.3229778184590908,-3.999998976939167,3.9508875322986903,1.898519670862468,-0.45541282931434435,2.30017952826449,-2.210737993954426,1.412350087891972,-13.66238487943033,-0.17765494398601137,-3.996372135890381,3.973585204119853,3.6230880818463977,-0.017511240848294484,0.9203941783320736,0.0,-0.5933450196649596,-0.5253372254488345,-0.0933096402182718,-1.7800954943398093,1.3299692189192716,-0.5933450196649596,46.0,6.2048368229954285,36.0,56.0,966.0,46.0,36.0,56.0,20.0,1.0,0.0,1.0,1.0,21.0,1.0,1.0,1.0,0.0,
6,2017-03-27 04:20:00,2017-03-27 06:06:00,2017-03-27 06:29:00,2017-03-27 06:50:00,reactor_1,filter_a,-0.13709566604763962,2.0525583112335153,0.9657481387212188,-2.8071068093657674,-14.5321406010498,-0.068872729579479,-3.999917132355099,3.999949870121741,-3.7728549480869864,0.20574762476990846,1.9708079216034124,-1.1545215633332842,0.7644932738800225,21.809248225610297,0.23359480325115084,-3.9972812498918495,3.997488082206164,1.9190148372133067,-0.23243731015909802,0.8987183370204972,0.521760413340555,-0.8421320428097302,-24.63835487686439,-0.30163867463945393,-2.612866393936638,1.807291919101574,-1.3638924561502852,100.0,62.048368229954285,0.0,200.0,2100.0,100.0,0.0,200.0,200.0,10.0,0.0,10.0,10.0,210.0,10.0,10.0,10.0,0.0,bad
7,2017-03-27 06:07:00,2017-03-27 06:23:00,2017-03-27 07:05:00,2017-03-27 07:34:00,reactor_1,filter_a,0.24135273110611666,2.77161238505266,0.0,2.831459890640093,3.8616436976978665,0.6172176816474021,-3.999998976939167,3.9508875322986903,2.831459890640093,-0.522689695345574,2.9433852476935156,-2.210737993954426,-3.9212618422984105,-8.363035125529183,-1.2289864530076162,-3.996372135890381,3.973585204119853,-1.7105238483439846,0.07240581933183504,0.8314837155157981,0.0,0.8494379671920279,1.1584931093093607,0.1851653044942206,-1.19999969308175,1.185266259689607,0.8494379671920279,250.0,0.0,250.0,250.0,7250.0,250.0,250.0,250.0,0.0,10.0,0.0,10.0,10.0,290.0,10.0,10.0,10.0,0.0,
8,2017-03-27 06:24:00,2017-03-27 06:58:00,2017-03-27 07:53:00,2017-03-27 08:44:00,reactor_1,filter_a,0.405361450202085,1.4333069169806847,0.0,-1.3337171945507376,13.78228930687089,0.11028952316254756,-1.5450550382946495,3.9508875322986903,-1.3337171945507376,-0.654275438036147,1.3456288220862411,-2.210737993954426,-0.4146808560321214,-22.245364893228995,-0.3224023319800006,-3.996372135890381,1.6488134865223367,1.7960571379223045,-0.058323345707769446,0.9077857971562886,0.0,0.3005691994289474,-1.9829937540641611,0.0026456526153075,-2.104821119859622,1.9089708100311555,0.3005691994289474,114.47329703616155,119.66036125019347,250.0,1.823094041568184,5838.138148844239,30.0,-1.211355940459149,250.0,-248.1769059584318,4.422091611240282,4.961838878024272,10.0,-0.3479497163832112,225.52667217325438,1.0,-1.876200187417208,10.0,-10.34794971638321,good
9,2017-03-27 06:59:00,2017-03-27 08:12:00,2017-03-27 09:12:00,2017-03-27 09:36:00,reactor_1,filter_a,-0.14200063600421098,0.91097669636195,-0.119263461380362,0.5484249515889806,-10.366046428307401,-0.119263461380362,-2.409291022113635,2.5388258726488213,0.6676884129693427,-0.07444760659623761,0.9900026367335063,-0.3265321730110188,1.3565292326572598,-5.434675281525346,-0.0814243713602812,-2.9910216342092637,1.9054684524881451,1.6830614056682784,0.07590193901014666,0.885179551365675,-1.1056965143699695,0.3952585830162388,5.5408415477407065,0.2123484547072482,-2.829626865980944,1.960094802972605,1.5009550973862082,34.5,21.213203435596427,0.0,69.0,828.0,34.5,0.0,69.0,69.0,3.0,0.0,3.0,3.0,72.0,3.0,3.0,3.0,0.0,
