timestamp,air_flow01,air_flow02,air_flow03,air_flow04,air_flow05,air_flow06,air_flow07,amina_flow,column_level01,column_level02,column_level03,column_level04,column_level05,column_level06,column_level07,iron_conc,iron_feed,ore_pulp_density,ore_pulp_flow,ore_pulp_ph,silica_conc,silica_feed,starch_flow,iron_minus_silica,feed_diff_divide_silica,total_column_level,total_air_flow,silica_conc_lagged
2017-03-09 23:00:00,251.1666724137931,250.22608620689653,250.17828735632185,295.096,300.0,251.23252873563217,250.208183908046,578.7866781609196,450.383775862069,446.89184482758617,450.4745229885057,449.9122586206896,455.7921609195402,464.3833103448276,450.5327471264368,66.91,55.2,1.7295581609195405,398.753367816092,10.11348735632184,9.894903070449615,16.98,3162.6250258620694,38.22,2.2508833922261484,3168.3706206896545,1848.1077586206893,
2017-03-10 02:00:00,250.083562962963,250.1743259259259,250.0668425925926,295.096,300.0,249.99225925925927,250.17979259259263,574.098837037037,462.4289814814815,464.1933925925926,462.7900833333333,465.3342703703704,465.17372777777774,472.7488962962963,465.541437037037,66.92666666666666,55.20000000000001,1.710516962962963,399.5008703703704,10.032253,8.972383954711564,16.98,3280.258589722222,38.22000000000001,2.2508833922261493,3258.2107888888886,1845.5927833333333,1.31
2017-03-10 05:00:00,250.05558703703704,250.1827037037037,250.0519092592592,295.096,300.0,250.08070925925924,250.09708333333333,619.925237037037,549.7236944444444,550.2304481481482,549.848,550.0150518518518,549.4849740740741,563.7890740740742,550.6461185185185,66.41333333333334,55.116666666666674,1.765455203703704,399.9031888888888,9.939563962962964,11.83439560339218,17.12,3199.440462962963,37.99666666666667,2.219431464174455,3863.737361111111,1845.5639925925925,1.2466666666666668
2017-03-10 08:00:00,249.9888833333333,250.0478481481481,250.02023703703708,295.096,300.0,250.1598555555556,250.0378814814815,590.3183537037038,550.1115555555556,549.5568185185185,549.6099111111112,549.7394435185184,548.1213425925926,562.4172666666667,549.8158888888889,66.36333333333333,54.95000000000001,1.7624193703703703,400.0602925925926,10.074967629629628,12.62676298545752,17.4,3469.3315496296304,37.55000000000001,2.158045977011496,3859.372226851852,1845.350705555556,1.75
2017-03-10 11:00:00,250.2601425925926,250.19755740740743,250.0852,295.096,300.0,250.060175925926,250.0645740740741,540.7566444444445,550.3442740740741,550.2688907407406,549.7106518518518,551.1071657407407,549.2329111111111,549.2256120370371,549.505612962963,65.94666666666666,54.95,1.7749908333333335,400.1016666666666,10.188462074074076,17.35231188602901,17.4,4297.4533925925925,37.55,2.158045977011495,3849.3951185185183,1845.76365,2.063333333333333
2017-03-10 14:00:00,250.11975185185187,249.8557703703704,250.0415833333333,295.096,300.0,250.05302407407407,250.0229555555556,523.9877629629628,549.8699074074075,549.4807685185185,550.0540370370371,551.8527240740741,550.9309814814815,556.5564037037037,550.4980185185185,67.05333333333333,55.296666666666674,1.781092851851852,399.303424074074,10.343235740740743,20.075338467840936,17.319999999999997,4990.956981481481,37.976666666666674,2.19264819091609,3859.242840740741,1845.1890851851847,2.3866666666666667
2017-03-10 17:00:00,249.9635425925926,250.09368148148147,250.07011296296287,295.096,300.0,250.00934074074075,250.02799814814816,517.1975037037037,549.9336203703704,549.942237037037,549.5177833333333,549.4803092592592,549.4930333333333,563.303438888889,549.7805092592592,66.58333333333333,55.99,1.7577241851851853,399.73750740740735,10.344621111111111,19.240095107061297,17.16,4976.461925925926,38.83,2.2628205128205128,3861.450931481481,1845.2606759259256,1.5133333333333334
2017-03-10 20:00:00,249.94377962962963,250.16991851851853,250.03986296296296,295.096,300.0,249.9955111111111,250.08233703703704,435.57766481481485,515.7531814814815,519.82375,515.2674666666667,459.5346583333333,479.0631481481482,496.29679351851854,483.5216296296296,66.60333333333334,55.99,1.7211742222222224,399.7507333333333,10.066053314814814,11.701512035821215,17.16,4017.2720870370376,38.83,2.2628205128205128,3469.2606277777777,1845.32740925926,2.216666666666667
2017-03-10 23:00:00,250.1337685185185,250.2973981481481,250.06009814814817,295.096,300.0,250.0476555555555,250.0038925925926,346.4743481481482,549.918187037037,550.1560833333333,549.6264962962963,410.550475,546.9562555555555,554.0757148148149,544.2215064814815,67.21333333333332,57.54666666666666,1.6401556666666668,400.273437037037,10.061603814814816,14.239329701180552,14.19,4618.658196296296,43.35666666666666,3.0554381019497296,3705.504718518519,1845.638812962963,1.3733333333333333
2017-03-11 02:00:00,249.84902222222223,250.05017407407408,249.92539814814813,295.096,300.0,250.10960185185183,249.97788888888888,336.0026759259259,550.1972833333333,555.2748629629629,550.0462074074075,480.53319259259257,547.6899916666666,555.7009555555555,548.5597981481482,65.26,60.66,1.7456540370370373,399.7996296296296,10.170164833333336,12.92247360006318,8.25,3120.682148148148,52.41,6.352727272727273,3788.002291666666,1845.008085185185,1.1833333333333331
