timestamp,inp_quantity,cu_content,outp_quantity,inp_avg_hardness,on_off_mill_a,mill_b_power,mill_a_power,mill_b_load,mill_a_load,dummy_feature_tag
2020-01-01 00:00:00+00:00,876.0,0.0799747593278392,0.0,0.5074942351313535,1.0,,,306.99366298304244,677.3333490555316,1598.3143380046588
2020-01-01 01:00:00+00:00,1005.0,0.0799255135178722,891.0,0.5039533986602016,1.0,175.0,120.0,304.42141695848295,679.7139049167479,1592.978155792197
2020-01-01 02:00:00+00:00,960.0,0.0798827400638292,1005.0,0.514665965466251,1.0,175.0,120.0,305.57083727866336,675.3652675597336,1592.0777793957236
2020-01-01 03:00:00+00:00,970.0,0.0799661061560512,979.0,0.5202776146569709,1.0,175.0,120.0,311.9307109076992,672.7722326214849,1608.5643653445827
2020-01-01 04:00:00+00:00,984.0,0.0801529433572065,972.0,0.509662543343893,1.0,175.0,120.0,312.17402468161305,673.6731094182794,1610.1951834631186
2020-01-01 05:00:00+00:00,984.0,0.0801482961064575,979.0,0.5106657900605737,1.0,175.0,120.0,309.9838931651457,669.3176998277836,1599.2693793232206
2020-01-01 06:00:00+00:00,1003.0,0.0799805246582197,987.0,0.5113037403415942,1.0,175.0,120.0,312.1230184450287,674.1464031562427,1610.515458491329
2020-01-01 07:00:00+00:00,935.0,0.0798256896094687,1003.0,0.5109425739613735,1.0,300.0,90.0,304.3910535513604,672.3327346571506,1585.5058953112318
2020-01-01 08:00:00+00:00,960.0,0.0797266770532033,934.0,0.4991550130990682,1.0,300.0,90.0,308.6848857205555,672.8631124403527,1598.9177696020192
2020-01-01 09:00:00+00:00,948.0,0.0796735920692519,941.0,0.5018005729033548,1.0,300.0,90.0,306.5825825527422,669.6347834624471,1589.3825311206738
2020-01-01 10:00:00+00:00,966.0,0.0796047512237783,949.0,0.49863094980065353,1.0,300.0,90.0,305.7026639656143,671.8275498104318,1588.9355417072748
2020-01-01 11:00:00+00:00,949.0,0.0796893393289397,952.0,0.49428923785986445,1.0,300.0,90.0,307.08985467553,673.3045439508878,1594.5741079774778
2020-01-01 12:00:00+00:00,865.0,0.0795916271371621,945.0,0.4949851494771161,1.0,300.0,90.0,308.528213994978,670.324622406514,1595.9092643914478
2020-01-01 13:00:00+00:00,875.0,0.0796131265117969,881.0,0.4932482521454541,1.0,250.0,130.0,312.42189403689,677.1364242514912,1614.4021063621612
2020-01-01 14:00:00+00:00,873.0,0.0796853395528905,875.0,0.5028598358716361,1.0,250.0,130.0,311.88204274635797,670.4590243539387,1606.1051525930127
2020-01-01 15:00:00+00:00,881.0,0.0795825723176934,871.0,0.49751569727938005,1.0,250.0,130.0,308.1268639189601,678.9114382780904,1603.2920300349706
2020-01-01 16:00:00+00:00,863.0,0.0795540638768848,878.0,0.5029829919365694,1.0,250.0,130.0,313.1606416265566,677.9301176165377,1617.4120424962075
